trip_id,mode,distance_miles,flight_type,employee_count,date
T001,air,2500,economy_medium_haul,1,2024-01-15
T002,car,120,,2,2024-01-20
T003,air,850,economy_short_haul,1,2024-01-25
T004,air,5800,business_long_haul,2,2024-02-03
T005,car,85,,1,2024-02-10
T006,rail,320,,3,2024-02-15
T007,air,1200,economy_medium_haul,2,2024-02-20
T008,car,150,,1,2024-03-05
T009,air,6200,economy_long_haul,1,2024-03-12
T010,bus,45,,5,2024-03-18
T011,air,900,economy_short_haul,2,2024-03-25
T012,car,210,,3,2024-04-02
T013,air,4800,business_long_haul,1,2024-04-10
T014,rail,280,,2,2024-04-15
T015,car,95,,1,2024-04-22
T016,air,750,economy_short_haul,3,2024-05-01
T017,car,130,,2,2024-05-08
T018,air,3200,economy_medium_haul,1,2024-05-15
T019,car,180,,1,2024-05-22
T020,air,5100,business_long_haul,2,2024-06-05
