facility_name,waste_type,quantity_tons,month,year
Headquarters,landfill,3.2,1,2024
Headquarters,recycling,1.8,1,2024
Headquarters,composting,0.5,1,2024
Headquarters,landfill,2.9,2,2024
Headquarters,recycling,2.1,2,2024
Headquarters,composting,0.6,2,2024
Headquarters,landfill,3.0,3,2024
Headquarters,recycling,2.0,3,2024
Headquarters,composting,0.7,3,2024
Headquarters,landfill,2.8,4,2024
Headquarters,recycling,2.2,4,2024
Headquarters,composting,0.8,4,2024
Headquarters,landfill,2.7,5,2024
Headquarters,recycling,2.4,5,2024
Headquarters,composting,0.9,5,2024
Headquarters,landfill,2.5,6,2024
Headquarters,recycling,2.5,6,2024
Headquarters,composting,1.0,6,2024
Austin Office,landfill,1.2,1,2024
Austin Office,recycling,0.8,1,2024
Austin Office,landfill,1.1,2,2024
Austin Office,recycling,0.9,2,2024
Austin Office,landfill,1.3,3,2024
Austin Office,recycling,0.7,3,2024
Austin Office,landfill,1.2,4,2024
Austin Office,recycling,0.8,4,2024
Austin Office,landfill,1.1,5,2024
Austin Office,recycling,0.9,5,2024
Austin Office,landfill,1.0,6,2024
Austin Office,recycling,1.0,6,2024
