facility_name,electricity_kwh,grid_region,month,year
Headquarters,50000,WECC,1,2023
Headquarters,48000,WECC,2,2023
Headquarters,45000,WECC,3,2023
Headquarters,42000,WECC,4,2023
Headquarters,44000,WECC,5,2023
Headquarters,47000,WECC,6,2023
Headquarters,51000,WECC,7,2023
Headquarters,53000,WECC,8,2023
Headquarters,49000,WECC,9,2023
Headquarters,46000,WECC,10,2023
Headquarters,47000,WECC,11,2023
Headquarters,49000,WECC,12,2023
AustinOffice,25000,ERCOT,1,2023
AustinOffice,24000,ERCOT,2,2023
AustinOffice,23500,ERCOT,3,2023
AustinOffice,22000,ERCOT,4,2023
AustinOffice,24500,ERCOT,5,2023
AustinOffice,27000,ERCOT,6,2023
AustinOffice,28500,ERCOT,7,2023
AustinOffice,29000,ERCOT,8,2023
AustinOffice,26500,ERCOT,9,2023
AustinOffice,24000,ERCOT,10,2023
AustinOffice,23500,ERCOT,11,2023
AustinOffice,24500,ERCOT,12,2023
