trip_id,mode,distance_miles,employee_count,date
T001,air,2500,1,2023-01-15
T002,car,120,2,2023-01-20
T003,air,3200,1,2023-02-05
T004,air,1800,3,2023-02-12
T005,train,350,2,2023-02-25
T006,car,85,1,2023-03-10
T007,air,4500,2,2023-03-18
T008,car,150,3,2023-03-27
T009,air,2800,1,2023-04-05
T010,train,420,2,2023-04-15
T011,car,95,1,2023-04-22
T012,air,3600,2,2023-05-08
T013,car,75,3,2023-05-19
T014,air,5200,1,2023-06-02
T015,train,380,2,2023-06-17
T016,air,2900,3,2023-07-05
T017,car,110,1,2023-07-18
T018,air,3800,2,2023-08-10
T019,car,130,1,2023-08-24
T020,air,4200,2,2023-09-07
T021,train,290,3,2023-09-19
T022,car,105,1,2023-10-03
T023,air,3100,2,2023-10-15
T024,air,2700,1,2023-11-02
T025,car,125,3,2023-11-18
T026,air,4800,2,2023-12-05
T027,train,330,1,2023-12-20
